price,address,beds,baths,sqft
370000,"1419 Montrose Blvd UNIT 201, Houston, TX 77019",2,2,1279
972500,"2011 Woodhead St, Houston, TX 77019",3,4,--
194900,"2111 Welch St APT A325, Houston, TX 77019",1,1,850
575000,"1604 Driscoll St, Houston, TX 77019",3,4,2387
510000,"1135 W Bell St, Houston, TX 77019",2,3,2824
565000,"3333 Allen Pkwy UNIT 502, Houston, TX 77019",2,2,1721
1375000,"3331 Damico St #503, Houston, TX 77019",2,3,2750
6795000,"2924 Chevy Chase Dr, Houston, TX 77019",5,9,9411
219000,"1010 Rosine St APT 28, Houston, TX 77019",1,1,1095
839000,"306 W Pierce St, Houston, TX 77019",4,5,4194
244500,"3231 Allen Pkwy APT 4306, Houston, TX 77019",2,2,1006
829000,"308 W Pierce St, Houston, TX 77019",4,5,4194
1048000,"415 W Bell St, Houston, TX 77019",3,5,4385
555000,"1504 Hazel St, Houston, TX 77019",3,4,2724
245000,"3333 Allen Pkwy UNIT 300, Houston, TX 77019",1,1,471
1995000,"2025 Mcduffie St, Houston, TX 77019",4,6,7405
159900,"3231 Allen Pkwy APT 4103, Houston, TX 77019",1,1,537
799000,"316 W Clay St, Houston, TX 77019",4,5,3667
2850000,"2223 Del Monte Dr, Houston, TX 77019",4,5,5787
729900,"805 W Clay St, Houston, TX 77019",3,4,2623
1499000,"1517 Hazard St, Houston, TX 77019",3,4,4168
299000,"1010 Rosine St APT 41, Houston, TX 77019",2,2,1050
165000,"3231 Allen Pkwy APT 1209, Houston, TX 77019",1,1,580
525000,"1504 Saulnier St, Houston, TX 77019",3,4,2197
470000,"3333 Allen Pkwy UNIT 403, Houston, TX 77019",2,3,1544
1099000,"2303 Woodhead St, Houston, TX 77019",3,4,3320
288000,"2100 Welch St APT C103, Houston, TX 77019",2,2,1327
2495000,"1929 Sharp Pl, Houston, TX 77019",3,5,4994
1349000,"2013 Persa St, Houston, TX 77019",4,4,4484
3195000,"2146 Pelham Dr, Houston, TX 77019",4,8,5719
1450000,"1606 Elmen St, Houston, TX 77019",4,5,4606
209500,"1601 S Shepherd Dr APT 20, Houston, TX 77019",1,1,850
945000,"2318 Welch St, Houston, TX 77019",3,4,3078
1499900,"1907 Revere St, Houston, TX 77019",3,4,4121
2150000,"1909 Sharp Pl, Houston, TX 77019",4,6,4462
258000,"3231 Allen Pkwy APT 5207, Houston, TX 77019",2,2,1006
2499999,"3860 Olympia Dr, Houston, TX 77019",4,4,3876
244000,"3231 Allen Pkwy APT 5307, Houston, TX 77019",2,2,1006
1799000,"2018 Brun St, Houston, TX 77019",4,6,5320
699000,"1812 Elmen St, Houston, TX 77019",4,4,3784
1040000,"3333 Allen Pkwy UNIT 3001, Houston, TX 77019",3,3,2115
2999000,"2009 Chilton Rd, Houston, TX 77019",4,5,5219
2750000,"2302 Locke Ln, Houston, TX 77019",4,6,6090
165000,"3231 Allen Pkwy APT 5301, Houston, TX 77019",1,1,537
915000,"2313 Kingston St, Houston, TX 77019",3,4,3223
999950,"519 W Polk St, Houston, TX 77019",4,5,3807
460000,"1025 S Shepherd Dr UNIT 310, Houston, TX 77019",1,2,1891
208000,"1601 S Shepherd Dr APT 136, Houston, TX 77019",1,1,798
306000,"2111 Welch St APT A224, Houston, TX 77019",2,2,1390
2249000,"2409 Inwood Dr, Houston, TX 77019",4,5,5167
2125000,"2212 Devonshire St, Houston, TX 77019",5,6,5377
1490000,"2153 Stanmore Dr, Houston, TX 77019",2,2,2471
698000,"2108 Driscoll St, Houston, TX 77019",3,4,3241
599500,"2011 Park St, Houston, TX 77019",3,4,3197
654300,"3333 Allen Pkwy UNIT 601, Houston, TX 77019",2,3,1738
719000,"1406 Eberhard St, Houston, TX 77019",3,4,3381
299999,"1010 Rosine St APT 39, Houston, TX 77019",2,2,1300
145000,"1605 Cleveland St, Houston, TX 77019","1,525 sqft lot",- Lot / Land for sale,
1499000,"1927 W Lamar St, Houston, TX 77019",3,5,4196
975000,"2520 Kingston St, Houston, TX 77019",3,4,3254
2200000,"2409 Ella Lee Ln, Houston, TX 77019",4,4,4152
4895000,"2330 River Oaks Blvd, Houston, TX 77019",5,5,6828
5995000,"2121 Kirby Dr UNIT 32S, Houston, TX 77019",2,5,6224
223000,"2100 Welch St APT C313, Houston, TX 77019",1,1,926
829900,"2005 Brun St, Houston, TX 77019",4,4,3002
719000,"1215 Van Buren St, Houston, TX 77019",4,5,3860
1499000,"1711 Morse St, Houston, TX 77019",4,4,3945
1190000,"2315 Peckham St, Houston, TX 77019",3,4,3575
279875,"1010 Rosine St APT 20, Houston, TX 77019",2,2,1129
1175000,"2313 Peckham St, Houston, TX 77019",3,4,3575
725000,"1706 Mcduffie St, Houston, TX 77019",3,4,3184
