price,address,beds,baths,sqft
"$465,000","1212 W Dallas St, Houston, TX 77019",3 Beds,3.5 Baths,"2,349 Sq. Ft."
"$465,000","1616 Ruthven St, Houston, TX 77019",3 Beds,2.5 Baths,"2,020 Sq. Ft."
"$470,000","3333 Allen Pkwy #403, Houston, TX 77019",2 Beds,2.5 Baths,"1,544 Sq. Ft."
"$479,000","1974 Indiana St, Houston, TX 77019",3 Beds,3.5 Baths,"2,409 Sq. Ft."
"$490,000","1025 S Shepherd Dr #110, Houston, TX 77019",2 Beds,2 Baths,"1,884 Sq. Ft."
"$500,000","1135 W Bell St, Houston, TX 77019",2 Beds,3 Baths,"2,824 Sq. Ft."
"$515,000","1803 Oneil St Unit A, Houston, TX 77019",2 Beds,2.5 Baths,"2,319 Sq. Ft."
"$519,000","1241 W Pierce St, Houston, TX 77019",3 Beds,2.5 Baths,"2,735 Sq. Ft."
"$525,000","1504 Saulnier St, Houston, TX 77019",3 Beds,3.5 Baths,"2,197 Sq. Ft."
"$530,000","1326 W Pierce St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$530,000","1506 Saulnier St, Houston, TX 77019",3 Beds,3.5 Baths,"2,197 Sq. Ft."
"$540,000","1612 Ruthven Unit A St, Houston, TX 77019",3 Beds,3.5 Baths,"2,405 Sq. Ft."
"$544,900","2510 Woodhead St Unit B, Houston, TX 77019",3 Beds,2.5 Baths,"2,576 Sq. Ft."
"$550,000","1016 Ruthven, Lot A, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$550,000","1814 W Clay St, Houston, TX 77019",3 Beds,2.5 Baths,"2,577 Sq. Ft."
"$555,000","1504 Hazel St, Houston, TX 77019",3 Beds,3.5 Baths,"2,724 Sq. Ft."
"$555,000","2304 Dunlavy St, Houston, TX 77006",3 Beds,2.5 Baths,"2,540 Sq. Ft."
"$559,000","1817 Huldy St, Houston, TX 77019",3 Beds,2.5 Baths,"2,722 Sq. Ft."
"$565,000","3333 Allen Pkwy #903, Houston, TX 77019",2 Beds,2.5 Baths,"1,749 Sq. Ft."
"$565,000","1025 S Shepherd Drive Dr #103, Houston, TX 77019",2 Beds,2 Baths,"2,905 Sq. Ft."
"$565,000","1114 Andrews St, Houston, TX 77019",3 Beds,3.5 Baths,"3,278 Sq. Ft."
"$569,000","3333 Allen Pkwy #608, Houston, TX 77019",2 Beds,2.5 Baths,"1,860 Sq. Ft."
"$570,000","1815 W Clay St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$575,000","1133 W Gray St, Houston, TX 77019",—Beds,1 Bath,"1,462 Sq. Ft."
"$575,000","2314 Huldy St Unit B, Houston, TX 77019",3 Beds,2.5 Baths,"2,729 Sq. Ft."
"$578,500","320 W Pierce St, Houston, TX 77019",3 Beds,3.5 Baths,"2,400 Sq. Ft."
"$599,000","815 W Gray St, Houston, TX 77019",—Beds,—Baths,"1,617 Sq. Ft."
"$599,700","3333 Allen Pkwy #1101, Houston, TX 77019",2 Beds,2.5 Baths,"1,738 Sq. Ft."
"$599,900","1402 Crocker St, Houston, TX 77019",3 Beds,2.5 Baths,"2,644 Sq. Ft."
"$625,000","1610 Victor St, Houston, TX 77019",3 Beds,3.5 Baths,"3,298 Sq. Ft."
"$630,000","1005 S Shepherd Dr #605, Houston, TX 77019",2 Beds,2 Baths,"2,336 Sq. Ft."
"$639,900","410 W Pierce St, Houston, TX 77019",3 Beds,2.5 Baths,"2,520 Sq. Ft."
"$639,900","406 W Pierce St, Houston, TX 77019",3 Beds,2.5 Baths,"2,520 Sq. Ft."
"$639,999","3333 Allen Pkwy #509, Houston, TX 77019",2 Beds,2.5 Baths,"1,739 Sq. Ft."
"$640,000","1810 Morse St, Houston, TX 77019",6 Beds,4 Baths,"2,000 Sq. Ft."
"$649,000","3333 Allen Pkwy #1409, Houston, TX 77019",2 Beds,2 Baths,"1,730 Sq. Ft."
"$649,000","2419 Kingston St, Houston, TX 77019",3 Beds,2.5 Baths,"2,464 Sq. Ft."
"$649,900","1238 W Pierce St, Houston, TX 77019",3 Beds,3.5 Baths,"3,558 Sq. Ft."
"$650,000","1025 S Shepherd Dr #305, Houston, TX 77019",2 Beds,2 Baths,"2,680 Sq. Ft."
"$650,000","2108 Driscoll St, Houston, TX 77019",3 Beds,3.5 Baths,"3,241 Sq. Ft."
"$657,000","612 W Polk St, Houston, TX 77019",3 Beds,3.5 Baths,"2,604 Sq. Ft."
"$675,000","1312 Crocker St, Houston, TX 77019",3 Beds,3.5 Baths,"3,432 Sq. Ft."
"$679,000","1982 Indiana St Unit C, Houston, TX 77019",4 Beds,4.5 Baths,"3,216 Sq. Ft."
"$679,900","1005 S Shepherd Dr #819, Houston, TX 77019",2 Beds,2 Baths,"2,212 Sq. Ft."
"$679,900","1227 W Clay St, Houston, TX 77019",3 Beds,2.5 Baths,"2,259 Sq. Ft."
"$679,900","1225 W Clay St, Houston, TX 77019",3 Beds,2.5 Baths,"2,272 Sq. Ft."
"$689,000","1953 Haddon St, Houston, TX 77019",3 Beds,3.5 Baths,"2,534 Sq. Ft."
"$695,000","1706 Mcduffie St, Houston, TX 77019",3 Beds,3.5 Baths,"3,184 Sq. Ft."
"$695,000","1220 W Pierce St, Houston, TX 77019",3 Beds,3.5 Baths,"3,026 Sq. Ft."
"$699,000","1812 Elmen St, Houston, TX 77019",4 Beds,3.5 Baths,"3,784 Sq. Ft."
"$699,000","2512 Hazard St, Houston, TX 77019",3 Beds,3.5 Baths,"3,454 Sq. Ft."
"$700,000","1318 Andrews St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$719,900","408 W Pierce St, Houston, TX 77019",4 Beds,3.5 Baths,"2,990 Sq. Ft."
"$724,900","1145 W Bell St, Houston, TX 77019",4 Beds,3.5 Baths,"3,022 Sq. Ft."
"$725,000","507 W Pierce St, Houston, TX 77019",—Beds,1 Bath,"2,504 Sq. Ft."
"$729,900","1119 Waugh Drive Dr, Houston, TX 77019",—Beds,1 Bath,"2,660 Sq. Ft."
"$730,000","1107 Peveto St, Houston, TX 77019",4 Beds,3.5 Baths,"2,889 Sq. Ft."
"$737,500","1234 W Pierce St, Houston, TX 77019",3 Beds,3.5 Baths,"3,297 Sq. Ft."
"$739,900","422 Peden St, Houston, TX 77006",3 Beds,3.5 Baths,"3,368 Sq. Ft."
"$740,000","907 W Gray St, Houston, TX 77019",—Beds,—Baths,"2,808 Sq. Ft."
"$780,000","1915 Mcduffie St, Houston, TX 77019",—Beds,1 Bath,"2,736 Sq. Ft."
"$798,000","2017 Driscoll St Unit B, Houston, TX 77019",3 Beds,3.5 Baths,"3,506 Sq. Ft."
"$799,500","2422 Mimosa Dr, Houston, TX 77019",3 Beds,3.5 Baths,"2,990 Sq. Ft."
"$809,000","2013 Mcduffie St, Houston, TX 77019",4 Beds,3.5 Baths,"3,159 Sq. Ft."
"$819,000","308 W Pierce St, Houston, TX 77019",4 Beds,4.5 Baths,"4,194 Sq. Ft."
"$825,000","1924 Fairview Ave, Houston, TX 77019",3 Beds,3.5 Baths,"2,830 Sq. Ft."
"$829,900","2005 Brun St, Houston, TX 77019",4 Beds,3.5 Baths,"3,002 Sq. Ft."
"$839,000","306 W Pierce St, Houston, TX 77019",4 Beds,4.5 Baths,"4,194 Sq. Ft."
"$849,000","503 W Bell St, Houston, TX 77019",3 Beds,3.5 Baths,"3,614 Sq. Ft."
"$859,000","2419 Brazoria St Unit C, Houston, TX 77019",3 Beds,3.5 Baths,"2,863 Sq. Ft."
"$875,000","2313 Kingston St, Houston, TX 77019",3 Beds,3.5 Baths,"3,223 Sq. Ft."
"$879,000","2006 Elmen St, Houston, TX 77019",—Beds,4 Baths,"3,776 Sq. Ft."
"$880,000","2010 Elmen St, Houston, TX 77019",—Beds,4 Baths,"3,776 Sq. Ft."
"$885,000","402 W Pierce St, Houston, TX 77019",3 Beds,3.5 Baths,"3,370 Sq. Ft."
"$899,000","2318 Welch St, Houston, TX 77019",3 Beds,3.5 Baths,"3,078 Sq. Ft."
"$899,000","2010 Park, Houston, TX 77019",3 Beds,3.5 Baths,"3,797 Sq. Ft."
"$899,999","1811 Mcduffie St, Houston, TX 77019",4 Beds,3.5 Baths,"3,406 Sq. Ft."
"$899,999","1601 Driscoll St, Houston, TX 77019",4 Beds,3.5 Baths,"3,224 Sq. Ft."
"$920,000","608 Stanford St Unit A, Houston, TX 77019",3 Beds,2.5 Baths,"2,882 Sq. Ft."
"$937,500","1415 Waugh Dr, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$945,000","415 W Bell St, Houston, TX 77019",3 Beds,4 Baths,"4,385 Sq. Ft."
"$949,900","3333 Allen Pkwy #2109, Houston, TX 77019",2 Beds,2 Baths,"1,933 Sq. Ft."
"$970,000","3612 W Clay St, Houston, TX 77019",3 Beds,4.5 Baths,"3,632 Sq. Ft."
"$975,000","2520 Kingston St, Houston, TX 77019",3 Beds,3.5 Baths,"3,254 Sq. Ft."
"$979,000","1518 W Clay St, Houston, TX 77019",3 Beds,3.5 Baths,"3,575 Sq. Ft."
"$995,000","3333 Allen Pkwy #3001, Houston, TX 77019",3 Beds,3 Baths,"2,115 Sq. Ft."
"$995,000","2306 Avalon Pl, Houston, TX 77019",3 Beds,3.5 Baths,"3,251 Sq. Ft."
"$999,950","519 W Polk St, Houston, TX 77019",4 Beds,4.5 Baths,"3,807 Sq. Ft."
"$1,025,000","2522 Kingston St, Houston, TX 77019",3 Beds,3.5 Baths,"3,254 Sq. Ft."
"$1,038,900","3333 Allen Pkwy #1905, Houston, TX 77019",2 Beds,2.5 Baths,"2,196 Sq. Ft."
"$1,049,000","3333 Allen Pkwy #1505, Houston, TX 77019",2 Beds,2.5 Baths,"2,196 Sq. Ft."
"$1,085,000","1817 Sharp Pl, Houston, TX 77019",3 Beds,4 Baths,"2,318 Sq. Ft."
"$1,095,000","3331 D'amico St #405, Houston, TX 77019",2 Beds,2.5 Baths,"2,430 Sq. Ft."
"$1,099,000","2014 Woodhead St, Houston, TX 77019",3 Beds,3.5 Baths,"3,488 Sq. Ft."
"$1,099,000","2211 Dunraven Ln, Houston, TX 77019",3 Beds,3.5 Baths,"3,902 Sq. Ft."
"$1,099,000","2303 Woodhead St, Houston, TX 77019",3 Beds,3.5 Baths,"3,320 Sq. Ft."
"$1,099,000","2301 Woodhead St, Houston, TX 77019",3 Beds,3.5 Baths,"3,320 Sq. Ft."
"$1,100,000","2607 Avalon Pl, Houston, TX 77019",3 Beds,3.5 Baths,"3,073 Sq. Ft."
"$1,175,000","2313 Peckham St, Houston, TX 77019",3 Beds,3.5 Baths,"3,575 Sq. Ft."
"$1,190,000","2315 Peckham St, Houston, TX 77019",3 Beds,3.5 Baths,"3,575 Sq. Ft."
"$1,195,000","3708 Newhouse St, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$1,275,000","1226 W Pierce St #6, Houston, TX 77019",—Beds,—Baths,"4,586 Sq. Ft."
"$1,290,000","315 W Bell St, Houston, TX 77019",—Beds,1 Bath,"5,396 Sq. Ft."
"$1,295,000","2401 Morse St, Houston, TX 77019",3 Beds,3.5 Baths,"3,820 Sq. Ft."
"$1,300,000","2523 Westgate Dr, Houston, TX 77019",4 Beds,4.5 Baths,"3,900 Sq. Ft."
"$1,349,000","2013 Persa St, Houston, TX 77019",4 Beds,3.5 Baths,"4,484 Sq. Ft."
"$1,375,000","2221 Welch St #401, Houston, TX 77019",3 Beds,3.5 Baths,"2,834 Sq. Ft."
"$1,390,000","2151 Stanmore Dr, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$1,395,000","2024 Buffalo Ter, Houston, TX 77019",3 Beds,4 Baths,"3,603 Sq. Ft."
"$1,450,000","3115 Locke Ln, Houston, TX 77019",—Beds,—Baths,—Sq. Ft.
"$1,450,000","1606 Elmen St, Houston, TX 77019",4 Beds,4.5 Baths,"4,606 Sq. Ft."
"$1,490,000","2153 Stanmore Dr, Houston, TX 77019",2 Beds,2 Baths,"2,471 Sq. Ft."
"$1,490,000","2065 Brentwood Dr, Houston, TX 77019",4 Beds,4 Baths,"4,069 Sq. Ft."
"$1,499,000","1517 Hazard St, Houston, TX 77019",3 Beds,3.5 Baths,"4,168 Sq. Ft."
"$1,499,000","1931 W Lamar St, Houston, TX 77019",3 Beds,4.5 Baths,"4,218 Sq. Ft."
"$1,499,000","1927 W Lamar St, Houston, TX 77019",3 Beds,4.5 Baths,"4,196 Sq. Ft."
